index,date,word,par
996,2028-05-06,mare,5
997,2028-05-07,hell,5
998,2028-05-08,heir,6
999,2028-05-09,oats,5
1000,2028-05-10,damn,5
1001,2028-05-11,tsar,6
1002,2028-05-12,bars,5
1003,2028-05-13,jeez,6
1004,2028-05-14,rune,6
1005,2028-05-15,lies,5
1006,2028-05-16,type,6
1007,2028-05-17,bash,5
1008,2028-05-18,mate,6
1009,2028-05-19,lieu,5
1010,2028-05-20,math,6
1011,2028-05-21,stem,5
1012,2028-05-22,amps,9
1013,2028-05-23,base,5
1014,2028-05-24,ides,8
1015,2028-05-25,mass,5
1016,2028-05-26,tuff,6
1017,2028-05-27,wort,5
1018,2028-05-28,rule,5
1019,2028-05-29,wife,6
1020,2028-05-30,hips,5
1021,2028-05-31,worm,5
1022,2028-06-01,life,5
1023,2028-06-02,axes,8
1024,2028-06-03,zest,5
1025,2028-06-04,ages,8
1026,2028-06-05,bath,5
1027,2028-06-06,yolk,6
1028,2028-06-07,lids,5
1029,2028-06-08,nick,5
1030,2028-06-09,czar,5
1031,2028-06-10,weak,6
1032,2028-06-11,stew,5
1033,2028-06-12,rode,5
1034,2028-06-13,lied,5
1035,2028-06-14,dart,6
1036,2028-06-15,sips,5
1037,2028-06-16,hive,6
1038,2028-06-17,fair,5
1039,2028-06-18,love,5
1040,2028-06-19,hiss,5
1041,2028-06-20,aged,7
1042,2028-06-21,maul,5
1043,2028-06-22,putt,6
1044,2028-06-23,sire,5
1045,2028-06-24,site,6
1046,2028-06-25,wigs,5
1047,2028-06-26,typo,7
1048,2028-06-27,helm,5
1049,2028-06-28,fizz,9
1050,2028-06-29,mats,5
1051,2028-06-30,spas,6
1052,2028-07-01,gums,5
1053,2028-07-02,jinx,7
1054,2028-07-03,push,5
1055,2028-07-04,robe,5
1056,2028-07-05,fest,5
1057,2028-07-06,span,6
1058,2028-07-07,leak,5
1059,2028-07-08,stir,6
1060,2028-07-09,leap,5
1061,2028-07-10,fake,6
1062,2028-07-11,wear,5
1063,2028-07-12,self,6
1064,2028-07-13,tyre,5
1065,2028-07-14,spat,5
1066,2028-07-15,darn,5
1067,2028-07-16,nice,6
1068,2028-07-17,help,5
1069,2028-07-18,only,7
1070,2028-07-19,puts,5
1071,2028-07-20,mayo,7
1072,2028-07-21,hits,5
1073,2028-07-22,dash,6
1074,2028-07-23,spar,5
1075,2028-07-24,fang,6
1076,2028-07-25,dark,5
1077,2028-07-26,drug,6
1078,2028-07-27,runs,5
1079,2028-07-28,saga,6
1080,2028-07-29,spam,5
1081,2028-07-30,maze,6
1082,2028-07-31,sits,5
1083,2028-08-01,send,6
1084,2028-08-02,dare,5
1085,2028-08-03,feud,6
1086,2028-08-04,leaf,5
1087,2028-08-05,oars,6
1088,2028-08-06,sell,5
1089,2028-08-07,data,6
1090,2028-08-08,lead,5
1091,2028-08-09,webs,6
1092,2028-08-10,drum,5
1093,2028-08-11,fame,5
1094,2028-08-12,sped,5
1095,2028-08-13,goes,5
1096,2028-08-14,sage,5
1097,2028-08-15,aver,9
1098,2028-08-16,norm,5
1099,2028-08-17,leek,5
1100,2028-08-18,sent,6
1101,2028-08-19,spec,6
1102,2028-08-20,axis,9
1103,2028-08-21,hens,5
1104,2028-08-22,hair,6
1105,2028-08-23,safe,5
1106,2028-08-24,aims,6
1107,2028-08-25,date,5
1108,2028-08-26,pond,5
1109,2028-08-27,like,5
1110,2028-08-28,urea,9
1111,2028-08-29,flea,5
1112,2028-08-30,tuna,6
1113,2028-08-31,leer,5
1114,2028-09-01,jade,6
1115,2028-09-02,weed,5
1116,2028-09-03,hers,6
1117,2028-09-04,rust,5
1118,2028-09-05,herb,6
1119,2028-09-06,lees,5
1120,2028-09-07,note,5
1121,2028-09-08,herd,5
1122,2028-09-09,gush,6
1123,2028-09-10,guts,5
1124,2028-09-11,lily,6
1125,2028-09-12,said,5
1126,2028-09-13,sail,5
1127,2028-09-14,here,5
1128,2028-09-15,oath,6
1129,2028-09-16,dyed,5
1130,2028-09-17,hero,6
1131,2028-09-18,line,5
1132,2028-09-19,jack,5
1133,2028-09-20,week,5
1134,2028-09-21,rush,6
1135,2028-09-22,link,5
1136,2028-09-23,hail,5
